id,EA_HAB,EA_LIT,EA_MAL,EA_JOUE,EA_AID,EA_EMM,EA_SATTACHE,OA_VAISS,OA_REPAS,OA_ALIME,OA_LINGE,OA_ASPIR,OA_BRICO,OA_COMPT,OA_INVIT,OA_SATREP,OB_DACHQUO,OB_DACHEX,OB_DEDUC,OB_DLOISIR,OB_GESTION,OC_SATREL,OC_DESTAC,VA_MARIDEP,VA_COHAB,VA_MARITJS,VA_DIVORC,VA_FEMENF,VA_HOMENF,VA_DEUXPAR,VA_MERSEUL,VA_EFTAUTO,VA_DROITHOMO,VA_GPOCCPE,VA_PARAIDENF,VA_PARENCH,VA_ENRESPAR,VA_ENFCH,VA_FILLEFILS,VA_ENFAIDPAR,VA_ACCPAR,VA_DIFFAGE,VA_REVFE,VA_DEPFE,VA_FOYEPAN,VA_HOMPOL,VA_ENFMERAC,VA_ENFPERAC,VA_DIVGARD,VA_HOMPRIO,VA_PARPRIO,VA_JEUPRIO,VA_QPERSAGE,VA_QENFPS,VA_QENFSCO,VA_QFINPERSA,VA_QFINPAREN,MA_AGEMQ,MC_DIPLOME,PF_PCSM8,PF_PCSP8,CA_DIPLOME,EA_VERIFC,poids12,PA_DURMTRA,PB_DURMTRA,MA_SEXE,AH_CS8,PF_AGEDEPFOY_rec,PF_AVECQUI_rec,PE_NBFSV_rec,PA_VERIFCOH_rec,PA_FQAVM_rec,PB_FQAVP_rec,PA_MEREBV_rec,PB_PEREBV_rec,TYPFAM3_rec,EA_ADULT16_rec,NBENF14_rec,NBENF3_rec,MA_ACT_rec,NBENFTOTM_rec,EA_AUTPERS_rec,OA_AUTPERS_rec,MA_AGEM_rec
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,1,1,1,1,1,1,1,2,1,4,5,1,4,5,5,1,3,5,5,1,1,1,1,1,1,5,5,3,1,13,3,NA,1,NA,2,2302.436679,NA,NA,2,7,18,1,4,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,64
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,1,5,1,2,2,1,1,2,1,5,2,5,5,5,5,5,5,5,5,1,1,5,2,4,3,5,5,5,4,5,4,1,1,11,8,NA,6,NA,2,2381.044793,NA,5,1,2,24,1,5,4,NA,1,2,1,1,2,2,2,2,0,NA,NA,52
13,NA,NA,NA,NA,NA,NA,NA,4,2,1,4,4,1,3,2,8,2,4,NA,1,5,8,3,4,2,2,2,1,1,1,2,3,3,1,2,2,2,4,5,2,2,5,5,1,2,5,2,2,5,5,1,2,5,5,5,5,5,11,3,5,6,3,1,1780.360761,150,NA,1,4,17,6,1,4,0,NA,1,3,3,2,2,2,2,0,NA,3,52
14,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,1,1,3,3,9,2,1,NA,3,5,9,3,1,1,5,1,4,5,5,1,2,1,2,2,2,1,4,5,2,3,5,5,1,1,5,3,3,2,5,5,5,3,3,3,3,3,9,7,4,3,7,1,6797.372607,60,NA,1,4,19,1,NA,4,1,NA,1,2,3,2,2,2,2,0,NA,3,44
15,NA,NA,NA,NA,NA,NA,NA,5,3,3,5,5,2,5,5,8,3,3,NA,3,3,8,1,4,3,2,3,1,1,1,1,1,4,1,1,3,4,4,2,4,1,5,5,4,1,1,3,3,1,4,1,4,3,3,3,2,1,11,4,5,4,4,1,3730.885343,20,NA,1,4,21,1,NA,4,1,NA,1,2,3,2,2,2,2,0,NA,1,53
16,2,4,1,1,1,4,10,6,1,1,1,4,5,1,1,9,2,1,1,1,3,NA,3,4,3,3,2,1,1,1,1,2,3,1,2,2,2,2,5,2,1,5,5,1,2,5,3,4,2,2,2,2,4,5,5,2,3,8,4,NA,6,4,1,6074.489156,10,10,2,5,23,1,5,4,2,2,1,1,4,2,1,1,2,4,2,2,37
17,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,5,3,2,3,7,3,3,NA,3,5,8,3,5,1,5,1,4,4,2,2,4,2,2,3,4,2,4,4,2,3,5,2,1,4,4,4,3,2,5,5,4,3,3,3,3,4,7,8,4,4,8,1,6679.822465,180,180,2,3,22,1,2,4,1,1,1,1,3,2,2,2,1,0,NA,3,32
18,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,4,1,3,10,1,3,NA,3,3,NA,1,5,2,2,2,1,1,1,3,3,3,1,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,5,5,5,1,1,14,2,5,6,2,1,6195.681526,NA,180,2,7,21,1,5,4,NA,1,2,1,3,2,2,2,2,0,NA,1,67
19,NA,NA,NA,NA,NA,NA,NA,2,5,3,3,1,2,5,3,8,3,3,NA,3,4,NA,3,5,1,5,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,3,3,3,2,5,4,4,3,5,5,2,1,1,1,1,1,6,3,NA,5,7,1,6597.961079,25,25,1,6,20,1,2,4,1,1,1,1,3,2,2,2,1,0,NA,1,26
20,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,2,2,2,3,8,5,3,3,3,5,9,2,5,3,2,2,3,3,3,4,4,5,1,2,2,2,4,5,3,2,5,5,4,1,5,1,1,3,5,5,5,4,2,3,3,3,9,5,NA,4,7,1,6392.908688,30,NA,1,4,21,1,5,4,1,NA,1,2,4,1,2,2,2,2,NA,3,44
21,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,5,1,1,3,10,3,3,NA,3,3,NA,1,5,3,1,5,1,1,1,4,5,5,1,1,1,1,5,1,1,1,1,1,4,1,2,9,2,3,3,2,2,5,1,5,1,1,15,1,NA,5,1,1,6076.03171,900,NA,1,7,22,1,5,4,1,NA,1,2,3,2,2,2,2,0,NA,1,72
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,3,3,5,1,2,1,1,1,5,1,5,5,1,2,5,5,1,5,5,4,2,1,5,5,5,3,4,3,4,3,7,6,2,6,NA,2,2166.902655,30,30,2,5,24,1,1,4,2,1,1,1,2,2,1,2,2,1,3,NA,31
23,NA,NA,NA,NA,NA,NA,NA,3,4,3,1,5,5,3,3,10,3,3,NA,3,5,10,1,3,1,4,1,1,1,1,2,1,5,4,2,3,2,3,5,1,4,3,4,1,4,5,2,3,3,5,5,5,2,4,4,3,2,6,7,4,2,5,1,4294.152094,10,20,2,4,22,1,1,4,2,1,1,1,3,2,2,2,2,0,NA,3,25
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,1,1,1,1,5,1,5,1,1,3,1,3,5,1,1,1,5,1,1,5,5,3,5,5,5,5,5,3,3,3,3,5,7,NA,NA,NA,2,5351.563311,NA,15,2,5,NA,2,5,3,NA,0,NA,1,5,1,2,2,2,0,NA,NA,23
25,NA,NA,NA,NA,NA,NA,NA,3,4,4,5,4,1,2,3,8,4,3,NA,3,4,8,3,4,1,5,1,2,2,2,4,1,3,2,3,3,3,3,5,3,4,5,3,2,2,3,2,2,4,2,4,5,3,5,4,2,2,13,4,NA,2,3,1,5584.412166,NA,20,1,7,21,1,3,4,NA,1,2,1,3,2,2,2,2,0,NA,3,63
26,1,1,1,3,3,1,4,3,1,1,1,1,5,3,3,4,1,3,3,3,4,8,2,5,1,5,1,5,5,5,2,2,1,1,1,5,1,5,5,1,3,5,1,1,1,5,5,2,5,5,5,5,3,1,1,1,1,9,7,5,3,8,1,6396.683262,360,360,2,8,17,1,2,4,1,1,1,1,4,2,1,2,2,1,1,3,42
27,4,8,3,4,97,3,7,5,2,1,5,3,2,4,2,5,1,3,3,3,2,NA,1,1,1,4,1,5,5,1,1,3,1,5,3,3,3,5,5,5,5,5,5,4,4,5,5,1,3,5,5,3,2,4,3,3,3,8,3,6,6,3,1,3997.543696,NA,NA,1,6,18,1,2,4,NA,NA,2,2,4,1,1,2,2,4,1,1,39
28,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,1,3,3,6,5,1,5,3,3,NA,1,4,2,4,2,2,2,1,1,2,2,2,2,2,2,5,5,2,2,4,2,1,4,4,2,2,5,5,5,4,3,3,3,3,3,11,7,6,6,4,1,4431.836941,30,30,1,2,26,1,3,4,1,1,1,1,4,2,2,2,2,1,NA,1,51
29,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,5,1,3,3,8,3,3,NA,3,4,NA,1,3,1,3,1,1,1,1,3,1,5,5,4,5,5,5,5,5,5,5,5,3,1,5,1,3,1,1,3,1,3,5,5,1,3,13,1,6,6,2,1,5424.951292,NA,NA,1,7,21,1,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,61
30,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,3,5,4,3,8,2,3,NA,3,3,NA,1,5,3,1,1,1,1,1,2,4,5,1,1,2,2,2,5,1,2,4,2,1,1,5,1,1,1,5,1,2,3,5,5,3,5,13,7,NA,6,8,1,6070.141299,NA,NA,2,7,30,1,1,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,62
31,NA,NA,NA,NA,NA,NA,NA,97,4,4,5,7,2,2,3,6,4,3,NA,3,3,10,1,5,3,3,2,2,2,1,4,1,1,1,1,1,2,5,5,5,5,3,4,1,4,4,5,2,5,5,5,5,1,1,1,1,5,11,8,5,NA,8,1,3622.651233,60,NA,1,3,20,1,NA,4,1,NA,1,2,3,2,2,2,2,0,NA,3,54
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,3,2,2,1,3,4,3,1,1,2,1,2,5,1,1,3,5,1,1,2,5,3,2,2,2,3,5,5,5,3,2,6,8,3,3,NA,2,7596.646265,NA,NA,1,4,NA,1,3,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,28
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,2,4,1,2,2,3,2,2,4,2,4,4,2,2,3,4,2,2,3,4,4,3,4,5,4,4,5,3,1,1,8,4,NA,5,NA,2,3281.37954,NA,1440,1,6,15,3,4,4,NA,1,2,1,1,2,2,2,2,0,NA,NA,38
34,2,2,1,3,97,2,6,2,2,2,1,2,4,4,3,8,3,3,3,3,3,8,3,4,2,3,2,3,3,3,4,3,3,3,4,4,4,5,5,5,4,3,3,2,2,4,4,3,3,4,3,4,2,4,3,2,2,7,8,2,2,8,1,3470.671446,60,NA,2,4,20,1,2,4,1,NA,1,2,4,2,1,1,2,2,3,3,32
35,NA,NA,NA,NA,NA,NA,NA,4,3,3,5,7,2,3,3,8,4,3,NA,3,4,NA,3,3,1,5,1,2,2,2,2,1,2,2,3,4,4,4,5,4,3,2,5,2,3,4,2,1,3,5,5,5,3,4,3,2,2,15,8,NA,3,7,1,1874.458722,NA,NA,1,7,21,3,1,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,74
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,1,5,5,1,1,1,5,1,1,4,4,5,5,3,1,5,5,5,5,5,3,4,4,5,5,1,5,5,3,3,9,15,3,NA,2,NA,2,2580.534621,NA,NA,2,7,17,3,1,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,72
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,5,3,2,2,2,2,2,4,2,2,1,2,2,1,2,5,2,2,3,3,3,2,5,5,3,4,5,2,3,4,3,3,4,3,5,8,5,5,NA,2,1846.304504,60,60,2,4,18,1,2,4,2,2,1,1,1,2,2,2,2,0,NA,NA,24
38,NA,NA,NA,NA,NA,NA,NA,3,4,4,5,5,2,2,3,7,4,3,NA,3,3,9,2,5,2,2,2,1,1,1,2,2,3,2,2,2,3,3,3,3,3,2,3,3,2,3,2,2,3,3,2,2,3,4,4,2,2,11,4,NA,6,2,1,3793.153372,NA,NA,1,4,21,1,5,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,50
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,3,2,2,2,2,2,2,2,2,3,4,2,5,2,3,3,5,1,3,4,2,2,3,5,4,4,4,5,5,1,1,6,8,NA,3,NA,2,3284.790378,75,75,2,3,21,1,2,4,2,2,1,1,1,2,2,2,2,0,NA,NA,27
40,5,3,5,3,97,4,9,3,5,5,5,3,1,5,5,8,5,3,4,3,5,10,1,4,5,2,2,2,2,1,4,4,4,1,2,4,2,4,4,2,3,3,3,1,2,3,2,3,1,3,1,3,3,3,3,1,3,8,7,3,3,7,1,6712.518024,30,30,1,2,16,1,3,4,2,2,1,1,4,2,1,1,2,2,3,3,37
41,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,4,1,1,1,9,1,3,NA,3,3,NA,3,5,2,1,2,5,5,1,1,1,1,1,2,1,1,3,3,3,3,5,5,3,2,5,5,2,3,1,2,2,3,5,4,2,3,12,2,NA,6,4,1,3597.435134,NA,NA,2,5,19,1,3,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,55
42,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,2,1,3,3,9,3,3,NA,3,3,NA,1,5,1,5,1,1,1,1,1,1,1,1,3,3,5,5,5,3,5,1,5,3,1,5,1,5,3,3,1,3,3,5,5,3,3,13,4,NA,4,4,1,3684.249333,420,NA,2,7,21,1,3,4,1,NA,1,2,3,2,2,2,2,0,NA,1,63
43,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,3,1,3,10,1,3,NA,3,3,10,3,5,1,5,2,5,5,1,1,1,4,1,1,1,1,1,5,2,1,2,5,5,1,1,2,2,2,1,2,2,3,3,5,1,1,10,1,NA,NA,1,1,4576.002111,5,NA,2,8,26,1,5,4,0,NA,1,2,3,2,2,2,2,0,NA,3,46
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,5,1,1,1,5,5,5,1,5,5,1,5,5,5,5,5,5,1,1,5,5,1,5,1,5,5,5,5,5,1,2,8,4,3,2,NA,2,3292.559149,45,45,1,6,27,1,5,4,0,0,1,1,1,2,2,2,2,0,NA,NA,36
45,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,4,3,3,10,3,3,NA,3,5,NA,3,5,1,2,1,3,3,2,2,2,1,3,2,4,3,4,5,2,4,5,5,3,3,4,4,4,5,5,4,2,3,4,4,2,2,6,8,5,4,8,1,5968.086793,120,120,2,3,19,1,2,4,1,1,1,1,3,2,2,2,2,0,NA,1,25
46,NA,NA,NA,NA,NA,NA,NA,4,4,3,1,1,1,4,3,10,4,3,NA,3,1,NA,1,5,1,4,1,1,2,1,3,1,5,1,3,5,3,5,5,3,5,3,5,2,1,1,1,2,2,3,5,5,1,1,1,1,1,14,4,6,6,5,1,4094.257598,NA,NA,1,7,24,1,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,66
47,NA,NA,NA,NA,NA,NA,NA,1,4,3,3,1,1,3,5,8,1,1,NA,5,1,10,2,3,1,3,2,3,3,2,2,2,2,3,2,5,2,1,4,2,3,3,5,2,2,4,2,2,3,4,2,3,2,4,3,2,3,5,4,NA,2,4,1,3584.35452,10,10,2,5,17,1,1,4,2,1,1,1,3,2,2,2,2,0,NA,3,22
48,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,3,4,1,1,7,3,3,NA,2,3,8,1,3,1,4,1,2,3,3,1,1,5,1,3,5,5,5,5,3,3,5,5,1,3,5,3,3,2,5,3,5,1,4,4,3,3,13,4,NA,5,2,1,4153.423485,NA,NA,2,7,20,1,3,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,61
49,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,2,5,3,3,8,1,3,NA,2,3,9,1,5,1,9,1,9,9,1,4,5,3,3,3,5,5,5,5,5,5,3,5,1,4,5,2,2,5,5,5,3,4,1,1,1,1,11,7,NA,6,4,1,3933.674701,NA,NA,2,7,22,1,5,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,54
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,1,1,1,1,1,1,1,1,1,3,3,5,5,3,3,1,5,1,1,3,1,1,1,1,1,1,4,4,4,4,1,12,1,NA,4,NA,2,2027.354531,10,NA,2,6,19,1,4,4,1,NA,1,2,1,2,2,2,2,0,NA,NA,55
51,NA,NA,NA,NA,NA,NA,NA,5,4,4,1,1,2,3,3,9,4,3,NA,3,4,9,3,5,1,2,2,3,3,1,4,1,4,2,2,4,2,5,3,2,2,3,5,2,4,3,2,2,3,3,3,3,4,4,4,3,3,6,8,4,4,8,1,5924.992071,50,50,2,3,17,1,NA,4,1,1,1,1,3,2,2,2,2,0,NA,3,27
52,3,3,4,3,97,3,9,3,4,3,4,2,2,4,3,9,3,3,3,2,3,8,2,4,2,4,1,3,3,4,3,2,1,2,3,4,2,4,4,2,3,3,4,3,1,4,3,3,4,5,2,4,3,3,4,2,1,7,7,5,4,7,1,3924.767166,45,45,1,4,22,1,1,4,1,1,1,1,4,2,1,1,2,2,3,3,31
53,1,1,8,1,1,1,4,1,1,1,1,1,1,1,3,4,1,3,3,3,3,7,5,4,3,3,2,2,2,3,3,2,3,2,4,4,2,3,5,2,3,3,2,3,3,3,4,2,3,3,3,3,3,3,4,1,1,8,4,5,NA,4,1,3501.764502,3,NA,2,5,21,2,2,4,2,NA,1,2,4,2,1,2,2,3,3,3,36
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,1,3,4,1,4,3,2,1,2,2,5,2,2,4,3,3,1,1,5,2,1,1,5,5,5,4,5,4,1,1,11,4,5,6,NA,2,3597.435134,NA,20,2,5,22,1,1,4,NA,0,2,1,2,1,2,2,2,1,NA,NA,50
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,1,1,1,1,1,3,3,4,2,4,3,3,5,1,2,3,4,2,4,4,5,2,3,5,5,5,4,4,4,2,2,5,7,5,3,NA,2,6906.666711,NA,NA,2,4,NA,1,1,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,20
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,2,3,3,1,3,3,5,2,2,3,3,4,5,2,2,2,5,2,2,2,2,2,3,3,3,2,3,5,2,1,1,5,5,5,6,NA,2,10466.08254,NA,NA,1,6,NA,1,1,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,24
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,1,1,1,3,1,5,1,1,1,1,1,5,1,1,4,5,5,5,5,1,1,1,5,1,1,5,3,3,3,3,6,6,NA,NA,NA,2,3420.297511,720,NA,1,5,23,2,4,4,0,NA,1,2,1,2,2,2,1,0,NA,NA,27
58,1,3,1,3,2,2,8,3,2,1,1,2,5,1,3,8,3,3,3,3,3,9,1,5,2,2,2,2,2,1,4,1,2,1,2,2,1,5,5,2,2,3,5,1,5,5,2,2,2,2,2,2,5,5,5,1,3,8,4,NA,4,4,1,3501.887795,5,5,2,5,18,1,3,4,2,2,1,1,4,2,1,1,2,3,3,3,37
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,2,1,1,1,5,3,3,2,2,2,2,5,5,2,5,5,3,5,2,5,2,2,5,5,9,5,4,3,4,1,1,15,2,1,1,NA,2,1146.212306,NA,NA,1,7,16,1,4,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,73
60,5,2,5,5,5,8,7,5,5,5,5,3,1,1,3,8,5,3,3,5,3,8,1,3,1,1,3,1,1,1,5,1,5,1,2,1,1,5,5,1,1,3,5,1,4,3,2,5,5,5,1,1,3,3,5,1,3,8,1,NA,6,1,1,3798.323133,10,10,1,4,26,1,5,4,1,1,1,1,4,2,1,2,2,2,3,3,36
61,5,8,5,4,5,5,7,4,5,5,7,7,5,4,3,8,4,3,3,3,3,NA,1,5,3,3,1,3,3,1,4,4,5,1,1,2,1,5,5,4,4,2,4,2,2,5,2,2,3,5,5,5,5,5,5,4,3,9,8,NA,3,7,1,4776.215563,45,45,1,3,23,1,2,4,1,1,1,1,4,2,1,2,2,3,1,1,44
62,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,5,3,3,5,8,5,5,NA,3,3,NA,1,3,1,1,2,5,5,1,3,1,2,3,3,5,3,5,5,2,3,3,5,3,2,5,3,2,3,5,2,3,3,5,5,1,3,5,2,4,6,2,1,6976.27885,5,NA,1,6,22,1,NA,4,2,NA,1,2,3,2,2,2,2,0,NA,1,23
63,8,8,3,3,4,8,10,3,3,1,5,7,1,1,3,10,3,3,3,3,3,10,1,5,3,4,3,5,5,2,2,3,1,3,2,4,2,5,5,2,2,3,5,1,3,5,3,2,3,5,2,5,5,5,5,1,1,9,8,2,4,8,1,11627.1232,360,NA,1,3,24,1,1,4,2,NA,1,2,4,1,1,2,2,2,3,3,44
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,5,3,3,4,3,3,1,2,2,5,2,3,3,4,4,5,1,2,5,5,1,2,2,2,2,3,2,2,3,4,2,3,2,5,15,2,NA,6,NA,2,2128.081234,NA,NA,1,7,20,1,3,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,74
